industry,kind_of_business,month,avg_sales,lowest_sales,highest_sales
Food & Beverage,Warehouse clubs and superstores,February,34276.23,28258.0,40730.0
Food & Beverage,Warehouse clubs and superstores,January,34972.62,28171.0,45340.0
Food & Beverage,Warehouse clubs and superstores,July,38831.15,30555.0,50363.0
Food & Beverage,Warehouse clubs and superstores,June,38497.23,29834.0,49897.0
Food & Beverage,Warehouse clubs and superstores,March,38959.0,29852.0,49742.0
Food & Beverage,Warehouse clubs and superstores,May,39413.23,31271.0,48612.0
Food & Beverage,Warehouse clubs and superstores,November,42141.46,32462.0,54396.0
Food & Beverage,Warehouse clubs and superstores,October,39066.62,30371.0,51314.0
Food & Beverage,Warehouse clubs and superstores,September,36538.23,28166.0,47859.0
Fuel & Gasoline,Fuel dealers,April,2625.08,1980.0,3553.0
Fuel & Gasoline,Fuel dealers,August,1996.62,1506.0,2900.0
Fuel & Gasoline,Fuel dealers,December,4219.46,2835.0,5477.0
Fuel & Gasoline,Fuel dealers,February,4324.23,3352.0,5835.0
Fuel & Gasoline,Fuel dealers,January,4839.54,3572.0,6632.0
Fuel & Gasoline,Fuel dealers,July,1870.0,1370.0,2553.0
Fuel & Gasoline,Fuel dealers,June,1948.23,1497.0,3207.0
Fuel & Gasoline,Fuel dealers,March,3742.69,2575.0,5024.0
Fuel & Gasoline,Fuel dealers,May,2196.0,1702.0,3492.0
Fuel & Gasoline,Fuel dealers,November,3307.85,2395.0,4367.0
Fuel & Gasoline,Fuel dealers,October,2785.15,2130.0,4074.0
Fuel & Gasoline,Fuel dealers,September,2175.23,1666.0,3012.0
Fuel & Gasoline,Gasoline stations,April,43392.23,26668.0,64776.0
Fuel & Gasoline,Gasoline stations,August,47071.92,38541.0,67977.0
Fuel & Gasoline,Gasoline stations,December,41373.54,33664.0,54203.0
Fuel & Gasoline,Gasoline stations,February,37240.69,28976.0,49575.0
Fuel & Gasoline,Gasoline stations,January,38402.77,31037.0,49098.0
Fuel & Gasoline,Gasoline stations,July,47472.62,38709.0,74079.0
Fuel & Gasoline,Gasoline stations,June,46697.08,36169.0,75341.0
Fuel & Gasoline,Gasoline stations,March,43331.46,33574.0,64397.0
Fuel & Gasoline,Gasoline stations,May,46806.0,31927.0,72883.0
Fuel & Gasoline,Gasoline stations,November,42091.08,34063.0,59114.0
Fuel & Gasoline,Gasoline stations,October,45647.62,37960.0,64674.0
Fuel & Gasoline,Gasoline stations,September,44436.15,37044.0,61784.0
General Merchandise,All other gen. merchandise stores,April,5950.0,4216.0,8349.0
General Merchandise,All other gen. merchandise stores,August,5940.0,4029.0,8186.0
General Merchandise,All other gen. merchandise stores,December,8041.46,5997.0,10825.0
General Merchandise,All other gen. merchandise stores,February,5242.85,3679.0,6862.0
General Merchandise,All other gen. merchandise stores,January,5051.0,3384.0,6794.0
General Merchandise,All other gen. merchandise stores,July,5957.69,4106.0,8294.0
General Merchandise,All other gen. merchandise stores,June,6105.62,4182.0,8607.0
General Merchandise,All other gen. merchandise stores,March,6053.46,4158.0,8213.0
General Merchandise,All other gen. merchandise stores,May,6398.54,4281.0,9144.0
General Merchandise,All other gen. merchandise stores,November,6668.62,4709.0,9371.0
General Merchandise,All other gen. merchandise stores,October,6171.08,4278.0,8466.0
General Merchandise,All other gen. merchandise stores,September,5786.46,3990.0,8198.0
General Merchandise,Department stores,April,11616.08,5880.0,14513.0
General Merchandise,Department stores,August,12893.77,9765.0,14710.0
General Merchandise,Department stores,December,21219.08,14490.0,26641.0
General Merchandise,Department stores,February,10722.15,7882.0,13169.0
General Merchandise,Department stores,January,10094.46,8236.0,12298.0
General Merchandise,Department stores,July,11918.62,9285.0,13955.0
General Merchandise,Department stores,June,12157.92,8964.0,14719.0
General Merchandise,Department stores,March,12261.31,8067.0,14632.0
General Merchandise,Department stores,May,12580.15,8686.0,14922.0
General Merchandise,Department stores,November,15300.31,11165.0,18416.0
General Merchandise,Department stores,October,12138.0,9615.0,14387.0
General Merchandise,Department stores,September,11466.15,9072.0,13598.0
General Merchandise,Department stores(excl. discount department stores),April,3712.15,11.0,5233.0
General Merchandise,Department stores(excl. discount department stores),August,3770.77,1731.0,4976.0
General Merchandise,Department stores(excl. discount department stores),December,7788.46,3469.0,10536.0
General Merchandise,Department stores(excl. discount department stores),February,3414.08,1580.0,4551.0
General Merchandise,Department stores(excl. discount department stores),January,2950.08,1265.0,3959.0
General Merchandise,Department stores(excl. discount department stores),July,3555.85,1585.0,4781.0
General Merchandise,Department stores(excl. discount department stores),June,3753.92,1519.0,5174.0
General Merchandise,Department stores(excl. discount department stores),March,3797.92,1303.0,4970.0
General Merchandise,Department stores(excl. discount department stores),May,4004.31,1048.0,5162.0
General Merchandise,Department stores(excl. discount department stores),November,5089.85,2341.0,6630.0
General Merchandise,Department stores(excl. discount department stores),October,3769.62,1901.0,5032.0
General Merchandise,Department stores(excl. discount department stores),September,3631.77,1776.0,4895.0
General Merchandise,Discount dept. stores,April,7903.92,5869.0,9280.0
General Merchandise,Discount dept. stores,August,9123.0,8034.0,9824.0
General Merchandise,Discount dept. stores,December,13430.62,11021.0,16105.0
General Merchandise,Discount dept. stores,February,7308.08,6302.0,8618.0
General Merchandise,Discount dept. stores,January,7144.38,6239.0,8388.0
General Merchandise,Discount dept. stores,July,8362.77,7699.0,9302.0
General Merchandise,Discount dept. stores,June,8404.0,7445.0,9545.0
General Merchandise,Discount dept. stores,March,8463.38,6764.0,9762.0
General Merchandise,Discount dept. stores,May,8575.85,7638.0,9789.0
General Merchandise,Discount dept. stores,November,10210.46,8824.0,11809.0
General Merchandise,Discount dept. stores,October,8368.38,7463.0,9355.0
General Merchandise,Discount dept. stores,September,7834.38,6828.0,8703.0
General Merchandise,General merchandise stores,April,54532.38,47749.0,65483.0
General Merchandise,General merchandise stores,August,58403.15,49312.0,69704.0
General Merchandise,General merchandise stores,December,77562.85,71767.0,88869.0
General Merchandise,General merchandise stores,February,50241.23,44756.0,56575.0
General Merchandise,General merchandise stores,January,50118.08,43853.0,60884.0
General Merchandise,General merchandise stores,July,56707.46,48616.0,69456.0
General Merchandise,General merchandise stores,June,56760.77,48289.0,69304.0
General Merchandise,General merchandise stores,March,57273.77,48642.0,68779.0
General Merchandise,General merchandise stores,May,58391.92,50474.0,68782.0
General Merchandise,General merchandise stores,November,64110.38,55587.0,76493.0
General Merchandise,General merchandise stores,October,57375.69,49036.0,70683.0
General Merchandise,General merchandise stores,September,53790.85,45676.0,66464.0
General Merchandise,Other general merchandise stores,April,42916.31,33566.0,54781.0
General Merchandise,Other general merchandise stores,August,45509.38,34603.0,58152.0
