Unnamed: 0,month,year,naics_Code,kind_of_business,industry,sales,category,total_records
227,April,2022,Food Services & Drinking Places,Food services and drinking places,Restaurants & Bars,86931.0,Food,780
228,April,2022,Drinking Places (Alcoholic Beverages),Drinking places,Restaurants & Bars,21850.77,Food,780
229,April,2022,Restaurants & Other Eating Places,Restaurants and other eating places,Restaurants & Bars,75364.0,Food,780
230,April,2022,Full-Service Restaurants,Full service restaurants,Restaurants & Bars,21850.77,Food,780
231,April,2022,Limited-Service & Snack & Beverage Places,Limited service eating places,Restaurants & Bars,36888.0,Food,780
232,May,2022,Motor Vehicle & Parts Dealers,Motor vehicle and parts dealers,Automotive,132017.0,Automotive,936
233,May,2022,Motor Vehicle & Parts Dealers (Combined),Automobile and other motor vehicle dealers,Automotive,121308.0,Automotive,936
234,May,2022,Automobile Dealers,Automobile dealers,Automotive,109724.0,Automotive,936
235,May,2022,New Car Dealers,New car dealers,Automotive,95567.0,Automotive,936
236,May,2022,Used Car Dealers,Used car dealers,Automotive,14157.0,Automotive,936
237,May,2022,"Auto Parts, Accessories & Tire Stores","Automotive parts, acc., and tire stores",Automotive,10709.0,Automotive,936
238,May,2022,Furniture & Electronics Stores (Combined),"Furniture, home furn, electronics, and appliance stores",Home Goods & Electronics,19252.0,Retail,1560
239,May,2022,Furniture & Home Furnishings Stores,Furniture and home furnishings stores,Home Goods & Electronics,12180.0,Retail,1560
240,May,2022,Furniture Stores,Furniture stores,Home Goods & Electronics,6758.0,Retail,1560
241,May,2022,Home Furnishings Stores,Home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
242,May,2022,Floor Covering Stores,Floor covering stores,Home Goods & Electronics,21850.77,Retail,1560
243,May,2022,All Other Home Furnishings Stores,All other home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
244,May,2022,Electronics & Appliance Stores,Electronics and appliance stores,Home Goods & Electronics,7072.0,Retail,1560
245,May,2022,Household Appliance Stores,Household appliance stores,Home Goods & Electronics,1791.0,Retail,1560
246,May,2022,Electronics Stores,Electronics stores,Home Goods & Electronics,5281.0,Retail,1560
